NAME,AUTHOR,NARRATOR,RELEASEDATE,LANGUAGE,PRICE,DURATION_MINUTES,RATING_PERCENT
The Yoga Sutras of Patanjali,Patanjali,Matt Montanez,26-01-18,English,117.0,191,40
The Squeaky Wheel,Guy Winch Ph.D.,Guy Winch Ph.D.,10-01-11,English,134.0,461,40
His Dirty Virgin,Jessa James,Allison Cooke,28-09-21,English,585.0,106,40
The Favourite,Ophelia Field,Natalie Boscombe,01-11-18,English,873.0,1064,40
King Lear: CliffsNotes,Sheri Metzger Ph.D.,Kate Rudd,16-03-11,English,352.0,237,40
Get Rich with Dividends,Marc Lichtenfeld,Paul Mc Clain,07-07-15,English,668.0,451,40
Hooked,"Joe S.Mc Ilhaney Jr MD,Freda Mc Kissic Bush",Natalie Budig,01-01-19,English,422.0,239,40
Second Chance Contract,M.Robinson,"Tor Thom,Meg Sylvan",11-01-22,English,1172.0,445,40
Put Me in Detention,Meghan Quinn,"Vanessa Edwin,John Hartley",11-01-22,English,836.0,844,40
The Value of Debt in Building Wealth,Thomas J.Anderson,Tim Andres Pabon,31-07-17,English,656.0,478,40
What to Expect Before You’re Expecting,Heidi Murkoff,"Heidi Murkoff,Meeghan Holaway,Emma Bing,",07-05-19,English,1171.0,816,40
The Future of God,Deepak Chopra,Deepak Chopra MD,11-11-14,English,879.0,565,40
48 Hours to Kill,Andrew Bourelle,David Bendena,07-12-21,English,1172.0,652,40
This Lullaby,Sarah Dessen,Ali Ahn,11-06-09,English,1256.0,631,40
The Way to Wealth,Benjamin Franklin,Brian Wright,11-09-20,English,187.0,25,40
Mama’s Boy,Avery Flynn,"Avery Reid,Tim Paige",30-10-21,English,820.0,476,40
Against Interpretation and Other Essays,Susan Sontag,Tavia Gilbert,17-04-18,English,820.0,726,40
Summary of High Output Management by Andrew S. Grove | Includes Analysis,Instaread,Michael Pauley,24-03-16,English,132.0,23,40
Written on My Heart,Cole Gibsen,"Angie Hickman,Gordon B.Diamond",16-11-21,English,820.0,496,40
Fate's Demand,Aleatha Romig,Kelli Tager,18-05-21,English,233.0,56,40
Smartcuts,Shane Snow,"Shane Snow,Erik Bergmann",09-09-14,English,1181.0,355,40
How to Be a Family,Dan Kois,Dan Kois,17-09-19,English,500.0,646,40
"Change Your Brain, Change Your Life (Before 25)",Jesse Payne Ed.D.,Jesse Payne Ed.D.,29-07-14,English,670.0,366,40
Hot Shot,Susan E.Phillips,Nicole Poole,29-04-21,English,1172.0,1080,40
Fallen University: Complete Series: Books 1-3,Callie Rose,Lia Holland,09-06-21,English,1003.0,1415,40
Master of the Game,Sidney Sheldon,Shannon Engemann,14-12-21,English,585.0,786,40
Someone to Cherish,Mary Balogh,Rosalyn Landor,29-06-21,English,938.0,698,40
Rasiya [The Sensualist],Ruskin Bond,Rushad Rana,10-06-20,Hindi,233.0,171,40
Hardwiring Happiness,Rick Hanson,Rick Hanson,02-09-21,English,468.0,212,40
Instant Karma,Marissa Meyer,Rebecca Soler,03-11-20,English,221.0,854,40
Expert Secrets - Critical Thinking,Maxwell Jensen,Joseph Thorson,22-04-21,English,305.0,81,40
The Ego and the Id,Sigmund Freud,Deaver Brown,27-03-19,English,164.0,146,40
What Happened to Goldman Sachs,Steven G.Mandis,Sean Runnette,30-04-14,English,820.0,653,40
His Obsession Next Door,Cathryn Fox,Sasha Dunbrooke,16-11-17,English,501.0,294,40
My Man Jeeves,P.G.Wodehouse,Jordan Gaither,22-10-10,English,515.0,272,40
Home Tears,Tijan,Sarah Mollo-Christensen,21-03-17,English,938.0,600,40
The Manual to Manhood,Jonathan Catherman,Dean Gallagher,01-05-18,English,351.0,357,40
All the Rave,Joseph Menn,John Rubinstein,27-02-13,English,1003.0,839,40
The Entrepreneur Master Course,"Joe Nuckols,Brian Tracy,Joe Polish,","Joe Nuckols,Brian Tracy,Joe Polish,",24-09-20,English,2008.0,720,40
A Not So Meet Cute,Meghan Quinn,"Ava Erickson,Aaron Shedlock",02-11-21,English,836.0,713,40
Coming Out,Lila Rose,Paul Casteri,24-10-17,English,501.0,212,40
Death Sets Sail,Robin Stevens,Katie Leung,06-08-20,English,615.0,479,40
Ina May's Guide to Childbirth,Ina May Gaskin,Randye Kaye,24-12-19,English,703.0,867,40
Positioning: without positioning you are a nobody,Henning Glaser,Henning Glaser,06-07-15,English,200.0,48,40
The Elephant Keeper's Daughter,"Julia Drosten,Deborah Langton-translator",Deepa Samuel,10-04-18,English,586.0,595,40
"50 Classic Thriller Short Stories. Works by Edgar Allan Poe, Arthur Conan Doyle, Edgar Wallace, Edith Nesbit... And Many More!","Edgar Allan Poe,Edgar Wallace,Edith Nesbit,","Joseph Linehan‎‏,Steven Collins",20-06-19,English,32.0,1494,30
Sex & Cupcakes,Rachel Kramer Bussel,Rose Caraway,13-02-15,English,100.0,161,30
The Talking Dead,Chandrima Das,"Shenaz Merchant,Nikhil Sangha",05-04-21,English,0.0,190,30
The Little Book of Flirting,Stewart Ferris,Stewart Ferris,07-08-07,English,96.0,56,30
The Ministry for the Future,Kim Stanley Robinson,"Jennifer Fitzgerald,Fajer Al-Kaisi,Ramonde Ocampo,",06-10-20,English,500.0,1242,30
Astrology and Numerology Bundle,"Venus G.Sullivan,Mark E.Ripley,Jane M.Chamberlainand","Jesse Gross,Matt Montanez",24-02-21,English,305.0,336,30
The Pleiadian Agenda,Barbara Hand Clow,Kitt Weagant,15-12-99,English,421.0,185,30
Deduct Everything!,Eva Rosenberg,Eva Rosenberg,21-06-16,English,1172.0,453,30
My Man Jeeves,P.G.Wodehouse,John Rayburn,03-08-21,English,702.0,313,20
Short Stories,"Edgar Allan Poe,Nathaniel Hawthorne,Arthur Conan Doyle,",various,15-12-05,English,569.0,463,20
The Clear Skin Diet,"Nina Nelson,Randa Nelson","Nina Nelson,Randa Nelson",10-04-18,English,500.0,363,20
You Are a Medium,Sherrie Dillard,Rebecca Mitchell,31-03-20,English,586.0,576,20
The Complete Ethical Hacking Course Bundle!,Charles Berry,"Matthew Bevan,Richard Pryce",26-04-21,English,1003.0,2423,20
Total Leadership,Stewart DFriedman,Stewart DFriedman,02-03-09,English,610.0,425,20
"O. Henry Short Stories, Vol. 2","OHenry,William Sydney Porter",Bob Thomley,02-05-12,English,187.0,417,20
Fifty Thrilling Stories,"Henry Rider Haggard,M.R.James,H.P.Lovecraft,",Cathy Dobson,10-09-14,English,2277.0,1528,20
Shaman,Ya'Acov Darling Khan,Ya'Acov Darling Khan,31-03-20,English,727.0,552,20
Possible Minds,John Brockman-editor,"Kathleen Mc Inerney,Will Damron,Jason Culp,",19-02-19,English,1005.0,639,20
The REAL Entrepreneur,Lisa Zevi,Lisa Zevi,24-02-21,English,568.0,267,20
The Riley Brothers Collection,E.Davies,Michael Dean,18-11-19,English,1003.0,2302,20
Ice Planet Barbarians,Ruby Dixon,"Hollie Jackson,Mason Lloyd",21-11-17,English,820.0,351,20
Awakening Somatic Intelligence,"Risa F.Kaparo Ph.D.,Rick Hanson-foreword Ph.D,James Oschman Ph D-foreword",Margo Trueblood,06-12-16,English,1254.0,648,20
The Insomnia Cure,Max Kirsten,Max Kirsten,09-07-10,English,266.0,171,20
Commander,Kristy Marie,"Amelie Griffin,Nelson Hobbs",25-02-20,English,703.0,874,20
How to Speak Machine,John Maeda,Dani Martineck,21-11-19,English,888.0,353,20
The Innovators,Walter Isaacson,Frank Arnold,20-04-18,german,1206.0,1399,20
The CIA UFO Papers,"Dan Wright,Jan Harzan-foreword",Kevin Kenerly,01-09-19,English,700.0,670,20
Reborn as a Baron Lord,Han Yang,"Marissa Parness,Alex Perone",04-05-21,English,1340.0,652,20
The Little Book of Bull Moves in Bear Markets,Peter D.Schiff,Sean Pratt,23-10-08,English,703.0,404,20
Songs of the Gurus,Khushwant Singh,Deo Haldar,19-01-19,English,377.0,170,20
A Fate of Wrath and Flame,K.A.Tucker,Elizabeth Klett,26-10-21,English,820.0,1098,20
Wanted - Bad Boyfriend,TAMoore,Michael Mola,28-02-19,English,468.0,380,20
Unorthodox,Deborah Feldman,Anita Hopt,16-09-16,german,736.0,711,20
The Non-Runner's Marathon Trainer,"David Whitsett,Forrest Dolgener,Tanjala Kole",Benjamin Lange,21-04-21,English,1340.0,625,20
Blood & Ice,Ariana Nash,Cornell Collins,10-12-19,English,703.0,652,20
How to Putt Like a Pro in 4 Simple Steps,Frank Muir,Nick Mc Ardle,07-12-17,English,303.0,58,20
The Little Match Girl (from the Naxos Audiobook 'A Family Christmas'),Hans Christian Andersen,Teresa Gallagher,21-11-07,English,17.0,6,20
The Last Physicist,Dominic Stal,"Justin Thomas James,Jeff Hays,Annie Ellicott",23-09-21,English,836.0,1140,20
The Cycling Mind,Ruth Anderson,Shaelee Rooke,04-07-19,English,569.0,438,20
Clutch,"Piper Scott,Virginia Kelly",Michael Ferraiuolo,04-07-19,English,668.0,428,20
The 7 Habits of Highly Defective People,"Cathy Crimmins,Tom Maeder","Cathy Crimmins,Tom Maeder,Mason Adams,",14-08-17,English,163.0,99,20
The Inimitable Jeeves,P.G.Wodehouse,Deaver Brown,16-04-19,English,164.0,461,20
The Mushin Way to Peak Performance,Michael Veltri,"Michael Veltri,Tim Andres Pabon",07-06-17,English,656.0,377,20
Kitni Callory Chahiye Apko [How Many Calories Do You Need],Shameem Khan,Shweta Tiwari,08-10-19,Hindi,0.0,25,20
"#1 ""How to"" Job Interview Guide",Richard J.Gillespie,Richard J.Gillespie,23-08-21,English,234.0,76,20
Mastering the CompTIA A+,Christopher Parker,Todd Schick,04-11-08,English,938.0,195,20
Calypso,David Sedaris,Devid Striesow,27-08-18,german,502.0,282,20
There Was an Old Lady Who Swallowed a Bell!,Lucille Colandro,Skip Hinnant,22-09-08,English,233.0,4,20
Japan Made Easy,Sandeep Goyal,Anuj Datta,04-06-20,English,668.0,402,20
Salary Tutor,Jim Hopkinson,Jim Hopkinson,01-04-11,English,500.0,188,20
Gut Well Soon,Catherine Rogers,Colleen Prendergast,29-08-19,English,569.0,441,20
22.11.63,Stephen King,Peter Bøttger,28-08-15,danish,971.0,1795,20
After,Anna Todd,Giulia Bersani,20-06-18,italian,497.0,941,20
The Gaslighting of the Millennial Generation,Caitlin Fisher,Erica Sullivan,24-09-19,English,820.0,304,20
Jungle Heat,Bonnie Dee,Philip Rose,10-11-10,English,601.0,531,20
Open,Andre Agassi,Heikko Deutschmann,19-11-09,german,602.0,430,20
Nymåne,Stephenie Meyer,Karin Rørbech,02-08-17,danish,300.0,865,20
The Backup Boyfriend,River Jaymes,Marc Bachmann,09-06-15,English,938.0,517,20
Predictive Analytics,Eric Siegel,Steven Menasche,11-05-17,English,703.0,666,20
Tusmørke,Stephenie Meyer,Karin Rørbech,20-07-17,danish,300.0,780,20
I Kissed a Boy,Landon Dixon,Jon Curtis,06-03-20,English,152.0,17,20
The Six Figure Second Income,"Jonathan Rozek,David Lindahl","David Lindahl,Jonathan Rozek",18-03-11,English,820.0,421,20
Memorizing Pharmacology,Tony Guerra,James Gillies,18-05-16,English,668.0,436,20
The Convert,Oliver Broudy,Gary Dana,02-03-15,English,100.0,229,20
The Best of the Original Chicken Soup for the Soul,"Jack Canfield,Mark Victor Hansen","Jack Canfield,Mark Victor Hansen,Raymond Aaron",17-08-05,English,233.0,89,20
Reaper,Larissa Ione,John Solo,17-12-19,English,703.0,650,20
The Introvert's Edge,Matthew Pollard,Jamie Jackson,04-01-18,English,820.0,297,20
Social Media Marketing All-in-One for Dummies (4th Edition),"Jan Zimmerman,Deborah Ng",Megan Tusing,31-03-20,English,820.0,1301,20
The Power of Positive Thinking Self Hypnosis & Guided Meditation,Erick Brown Hypnosis,Erick Brown Hypnosis,25-08-09,English,469.0,148,20
World War Z,Max Brooks,"David Nathan,Michael Pan",25-11-11,german,300.0,843,20
"Getting Started in Mutual Funds, 2nd Edition",Alvin D.Hall,Bernard Setaro Clark,09-07-20,English,619.0,406,20
REM Sleep,i Minds,Ellouise Rothwell,18-09-09,English,33.0,8,20
Overcoming Harm OCD,"Jon Hershfield MFT,Jonathan Grayson-foreword",Sara K.Sheckells,13-06-19,English,398.0,359,20
Daughter of Deep Silence,Carrie Ryan,Karissa Vacker,26-05-15,English,1256.0,573,20
Minds Make Societies,Pascal Boyer,Tom Parks,27-09-18,English,1005.0,784,20
To Paradise,Hanya Yanagihara,"BDWong,Catherine Ho,Edoardo Ballerini,",11-01-22,English,323.0,1726,20
30 Days to Taming Your Tongue,Deborah Smith Peques,Kiersten Kingsley,31-12-08,English,305.0,126,20
The Anti-Capitalistic Mentality,Ludwig Von Mises,John Ridle,28-02-20,English,328.0,193,20
Here We Are,Aarti Namdev Shahani,Aarti Namdev Shahani,01-10-19,English,181.0,578,20
All About Drones,Tracy Abell,Lauren Mc Cullough,24-04-18,English,93.0,10,20
Twilight Sparkles prinsessbesvärjelse och andra berättelser,My Little Pony,Ida Olsson,04-03-20,swedish,32.0,41,20
The Autobiography of Thomas Jefferson,Thomas Jefferson,Philip Withers,09-01-20,English,99.0,42,20
"Laloo Bandar, Nathoo Magarmach",Gulzar,Gulzar,31-03-20,Hindi,75.0,24,20
How Not to Be a Boy,Robert Webb,Robert Webb,29-08-17,English,759.0,532,20
On the Origin of Species,Sabina Radeva,Roy Mc Millan,18-04-19,English,615.0,30,20
How Can I Talk If My Lips Don't Move?,Tito Rajarshi Mukhopadhyay,Mark Ashby,20-05-13,English,501.0,264,20
Human Anatomy & Physiology - Part 1,"Denson KMc Lain,David GGantt","Amy Bruce,Amanda Henkel",23-12-19,English,469.0,187,20
The Corsican: A Diary of Napoleon's Life,"Napoleon Bonaparte,R.M.Johnston-editor",Jack Chekijian,20-12-19,English,1053.0,1060,20
The Physics of Climate Change,Lawrence M.Krauss,Lawrence Krauss,04-03-21,English,645.0,260,20
Operations Management for Dummies,"Mary Ann Anderson,Dr.Edward Anderson,Dr.Geoffrey Parker",Marie Hoffman,10-09-19,English,703.0,835,20
Maximize Your Potential Through the Power of Your Subconscious Mind for a More Spiritual Life,Dr.Joseph Murphy,Sean Pratt,31-05-11,English,694.0,652,20
A Is for Arsenic,Kathryn Harkup,Beth Chalmers,10-09-15,English,668.0,590,20
The Healing Power of Your Subconscious Mind,Dr.Joseph Murphy,Tim Andres Pabon,22-06-16,English,117.0,25,20
Discover Nanotechnology,Lisa J.Amstutz,Intuitive,14-01-20,English,164.0,14,20
Beyond Good and Evil,Friedrich Nietzsche,Ellis Freeman,26-09-19,English,1008.0,465,20
Tech Generation,"Mike Brooks Ph D,Jon Lasser Ph D",Steven Jay Cohen,27-08-19,English,703.0,638,20
Halloween... Che fifa felina!,Geronimo Stilton,Geronimo Stilton,25-10-17,italian,190.0,37,20
Defining Moments,Joseph L.Badaracco,Lloyd James,06-06-07,English,703.0,330,20
"How to Work for an Idiot (Revised and Expanded with More Idiots, More Insanity, and More Incompetency)",John Hoover,Brian Sutherland,03-10-17,English,836.0,720,20
Shades of Milk and Honey,Mary Robinette Kowal,Mary Robinette Kowal,03-08-10,English,134.0,452,20
Fairfield Hall,Margaret Dickinson,Anne Dover,27-03-14,English,323.0,851,20
Thus Spoke Zarathustra,"Friedrich Nietzsche,Thomas Common-translator",John Lee,23-05-11,English,679.0,686,20
Your Marriage Today...And Tomorrow,"Crawford Loritts,Karen Loritts,Gary Chapman-foreword",Bill Andrew Quinn,24-10-18,English,703.0,242,20
The Mahabharata (Hindi Edition),Maple Press,Chaitali Gupta,23-09-21,Hindi,139.0,4,20
1984,George Orwell,Sebastian Rudolph,12-07-13,german,468.0,744,20
Digital Supply Networks,"Amit Sinha,Ednilson Bernardes,Rafael Calderon,",Neil Shah,14-07-21,English,586.0,633,20
Leading,"Alex Ferguson,Michael Moritz",Thomas Birnstiel,21-03-17,german,602.0,772,20
Eleanor & Park [German Edition],Rainbow Rowell,"Julian Greis,Franziska Hartmann",11-02-15,german,334.0,409,20
Options Trading: The Bible,Carl J.Merrill,Russell Newton,16-10-20,English,1003.0,1250,20
The Qur'an (Arabic Edition with English Translation): Surah 1 - Al-Fatiha,One Mediai PLTD,A.Haleem,05-02-18,arabic,76.0,1,20
Rewire Your Brain,David J.Goleman,Emad Schannat,09-03-20,English,501.0,187,20
A Letter from a Self-Made Merchant to His Son,George Horace Lorimer,Chris Moore,24-02-20,English,140.0,13,20
Fitness over 50,Stanford Dyson,Fritz Angelo,19-11-21,English,351.0,160,20
Blott on the Landscape,Tom Sharpe,David Suchet,26-08-05,English,626.0,475,20
How to Live on 24 Hours a Day,"Arnold Bennett,Joel Fotinos",Bruce Kramer,04-02-20,English,33.0,104,20
The Smart Girl's Guide to Self-Care,Shahida Arabi,Julie Mc Kay,29-11-16,English,668.0,306,20
Pré-suasion,Robert B.Cialdini,Bertrand Maudet,05-10-18,french,755.0,485,20
Poems of Rumi,"Robert Bly,Coleman Barks","Robert Bly,Coleman Barks",27-12-16,English,397.0,141,20
The Elements of Style,William Strunk Jr.,Matt Montanez,25-01-18,English,93.0,69,20
Buried Secrets,Carly Anne West,Oliver Wyman,30-07-19,English,586.0,365,20
Court,Tracy Wolff,"Heather Costa,Tim Paige",01-02-22,English,938.0,1462,20
Axiom's End,Lindsay Ellis,"Abigail Thorn,Stephanie Willis",21-07-20,English,221.0,959,20
A to Z Mysteries,Ron Roy,David Pittu,12-02-08,English,402.0,47,20
My Always One,Aleatha Romig,"Callie Dalton,Joseph Discher",24-08-21,English,668.0,341,20
Complete MBA For Dummies,"Kathleen Allen Ph D,Peter Economy",Steven Jay Cohen,28-12-18,English,703.0,1083,20
Redefining Possible,"Ron Alford,Dustin Hillis","Ron Alford,Dustin Hillis",17-08-21,English,702.0,293,20
How to Start a Side Hustle,Kaylene Langford,Helena Plazzer,02-11-21,English,689.0,173,20
Vaccine Epidemic,"Louise Kuo Habakus-editor,Mary Holland-editor","Kris Koscheski,Coleen Marlo",21-05-13,English,836.0,699,20
Israel: Jihad In Tel Aviv,Ariel Lilli Cohen,Francesca Di Modugno,11-02-18,italian,36.0,461,20
Cancer and the New Biology of Water,Dr.Thomas Cowan MD,Madison Niederhauser,26-09-19,English,668.0,348,20
Learn Hindi - Word Power 2001,Innovative Language Learning,Hindi Pod101.com,20-08-12,English,234.0,201,20
Denying the Duke,Callie Hutton,Charlotte Anne Dore,24-01-18,English,820.0,488,20
Meghan and Harry: The Real Story,Lady Colin Campbell,Lucinda Bell Howard,06-08-20,English,949.0,1000,20
Concentration,Christian D.Larson,Denis Daly,16-07-21,English,286.0,78,20
Diaper Dude,"Chris Pegula,Frank Meyer",Chris Pegula,04-08-20,English,754.0,231,20
Hung,Anne Marsh,"Rose Dioro,Alexander Cendese",16-01-18,English,668.0,317,20
Instagram Power (Second Edition),Jason Miles,Doug Greene,07-08-21,English,586.0,413,20
The Siren,Katherine St.John,"Erin Bennett,Christine Lakin,Kamali Minter,",13-05-21,English,500.0,798,20
"You Jizz, I Squirt: The Hottest Erotic Collection at Your Fingertips",Magda Red,"Erotica Bedtime Storiesfor Adults,Tantric Positionsfor Couples",24-12-20,English,1003.0,1668,20
Fable of Happiness,Pepper Winters,"Tor Thom,Charley Ongel",01-06-21,English,668.0,475,20
Hacking with Kali Linux,Grzegorz Nowak,Jordan Blom,27-11-19,English,501.0,202,20
The One Who Wrote Destiny,Nikesh Shukla,"Sagar Arya,Sheena Bhattessa,Sudha Bhuchar,",07-02-19,English,721.0,629,20
Royally Yours,Emma Chase,"Shane East,Andi Arndt",30-10-18,English,1003.0,453,20
A Team of Leaders,"Paul Gustavson,Stewart Liff",Sean Pratt,10-03-14,English,633.0,338,20
Talent Relationship Management,Armin Trost,Henrikvon Coler,24-05-13,german,1005.0,443,20
Powder and Patch,Georgette Heyer,Deaver Brown,28-05-19,English,164.0,330,20
Unschooled,"Kerry Mcdonald,Peter Grey Ph D",Lesa Lockford,07-05-19,English,1172.0,579,20
Secrets of a Webcam Girl,Annabelle T.Baxter,Zanna King,01-06-13,English,668.0,339,20
The Kama Sutra,"Mallanaga Vatsyayana,Sir Richard Francis Burton-translator",Jim Roberts,27-12-09,English,350.0,331,20
The Autobiography of Benjamin Franklin,Benjamin Franklin,Qarie Marshall,28-04-15,English,668.0,395,20
Rhythms Easy Malayalam,Euro Talk Ltd,Jamie Stuart,28-02-11,English,379.0,59,20
Unearthly Disclosure,"Timothy Good,The Lord Hill-Norton-foreword",Shaun Grindell,30-06-20,English,703.0,701,20
A Spy Named Orphan,Roland Philipps,Jonathan Keeble,01-05-18,English,1328.0,911,20
Writing Down the Bones: Freeing the Writer Within,Natalie Goldberg,Natalie Goldberg,16-12-99,English,738.0,509,20
Playing with Monsters,Amelia Hutchins,"Aiden Snow,Eva Amar",25-09-18,English,1003.0,918,20
The Easy Way for Women to Stop Smoking,Allen Carr,Karina Fernandez,12-07-13,English,759.0,498,20
Untamed Magic,Alexis Calder,"Chris Chambers,Stephanie Rose",29-09-20,English,469.0,248,20
Learn Nepali - Word Power 101,Innovative Language Learning,Innovative Language Learning,22-03-12,English,0.0,10,20
Djinn Patrol on the Purple Line,Deepa Anappara,"Indira Varma,Himesh Patel,Antonio Aakeel,",26-02-21,English,879.0,580,20
Hindi - Urdu. a complete method,J.M.Gardner,"Tulika,Ulfat",21-11-19,Hindi,284.0,238,20
The 21-Day Self-Love Challenge,21-Day Challenges,Amy Johnson,17-11-15,English,233.0,68,20
Alexander the Great and His Time,Agnes Savill,Nadia May,29-08-17,English,836.0,646,20
Hindi - English. For travel,J.M.Gardner,"Tulika,Katie",13-11-19,Hindi,225.0,70,20
Learn English: Word Power 2001,Innovative Language Learning,English Class101.com,17-08-12,English,234.0,179,20
Learn French,"Accelerated Language Learning Institute,Nicole Noble",Maya Belgnaoui,25-09-20,English,1003.0,1626,20
"Curing the Incurable, 3rd Edition","Thomas E.Levy MDJD,Dr.Garry Gordon",Stephen R.Thorne,03-07-18,English,703.0,820,20
The Optimistic Workplace,Shawn Murphy,Tim Andres Pabon,27-10-15,English,703.0,422,20
PHR/SPHR Audio Study Guide: Practice Questions Edition!,Matt Webber,Matyas J.,18-03-19,English,501.0,204,20
Recover to Live,Christopher Kennedy Lawford,Seth Michael Donsky,01-01-13,English,836.0,822,20
Uncivilized,Sawyer Bennett,"Kirsten Leigh,Lee Samuels",24-12-14,English,836.0,698,20
Hypnosis to Overcome Anxiety,Samara Vidal,Gary Middleton,12-10-21,English,351.0,265,20
Red-Hot Monogamy,"Bill Farrel,Pam Farrel","David Cochran Heath,Randye Kaye",26-05-20,English,586.0,396,20
High-Octane Brain,Michelle Braun,Anne Cross,29-10-20,English,1172.0,463,20
Luckiest Girl Alive,Jessica Knoll,Madeleine Maby,20-07-15,English,323.0,706,20
"Learn English: Ultimate Getting Started with English Box Set, Lessons 1-55",Innovative Language Learning,Innovative Language Learning,07-09-11,English,1172.0,584,20
Hindi - English. a complete method,J.M.Gardner,"Tulika,Katie",11-11-19,Hindi,284.0,236,20
The Memory Thief,Lauren Aguirre,Lauren Aguirre,01-06-21,English,937.0,560,20
Destiny’s Champions,D.Levesque,Michael David Axtell,26-01-21,English,1172.0,474,20
The Tao Made Easy,Alan Cohen,Alan Cohen,10-07-18,English,516.0,631,20
Rhythms Easy Gujarati,Euro Talk Ltd,Jamie Stuart,23-02-11,English,379.0,56,20
The Ultimate Guide to Prostate Pleasure,"Charlie Glickman,Aislinn Emirzian",Mark Bachman,05-06-13,English,668.0,533,20
The Psychology of Stupidity,Jean-Francois Marmion,"Allyson Ryan,Hillary Huber,Mark Deakins",01-10-20,English,323.0,495,20
The Kama Sutra of Vatsyayana,"Vatsyayana,Sir Richard Burton-translator",Rita Sharma,30-08-12,English,333.0,359,20
Little Gypsy,Roxy Freeman,Susie Riddell,08-12-11,English,607.0,456,0
Baby Bust,Stewart D.Friedman,Don Hagen,15-10-13,English,586.0,176,0
Les Red Velvet [The Red Velvet],Sylvie G.,Catherine De Léan,05-04-22,french,778.0,629,0
Under Pressure,Sara Driscoll,Susan Bennett,30-11-21,English,820.0,502,0
Promise Me,Harlan Coben,Nezar Alderazi,21-12-21,English,721.0,734,0
The Archipelago of Hope,Gleb Raygorodetsky,Keith Sellon-Wright,14-01-20,English,1172.0,576,0
Cheaters Always Win,J.M.Fenster,"J.M.Fenster,Abby Craden",06-12-19,English,500.0,347,0
The Fox,"Sólveig Pálsdóttir,Quentin Bates-translator",Ann Richardson,23-11-21,English,586.0,469,0
Rebalancing Society,Henry Mintzberg,Dana Hickox,17-02-15,English,586.0,133,0
In Search of the Canary Tree,Lauren E.Oakes,Ellen Archer,27-11-18,English,500.0,507,0
Empty Labor,Roland Paulsen,Liam Gerrard,10-12-19,English,586.0,482,0
Native American DNA,Kim Tall Bear,Donna Postel,27-08-19,English,586.0,609,0
Magic: Bolinda Beginner Guides,Robert Ralley,Deidre Rubenstein,15-06-12,English,585.0,476,0
"Elsewhere, U.S.A.",Dalton Conley,Christopher Lane,13-01-09,English,703.0,389,0
A Very Cerberus Christmas,Marie James,"Kasha Kensington,Aaron Shedlock",05-04-22,English,469.0,259,0
The Strange Truth About Us,M.A.C.Farrant,Tandy Cronyn,06-06-13,English,351.0,168,0
Verabredung mit einer Mörderin,Drea Summer,Martin Kuupa,26-11-21,german,166.0,57,0
American While Black,Niambi Michele Carter,Janina Edwards,21-04-20,English,586.0,490,0
DNA USA,Bryan Sykes,John Curless,01-09-12,English,660.0,802,0
Surviving Ireland,Colm Tobin,Colm Tobin,08-10-15,English,615.0,293,0
Merciless Union,Faith Summers,"Kale Williams,Lisa Zimmerman",05-04-22,English,1340.0,561,0
People of the World,Catherine Herbert Howell,Pam Ward,25-10-16,English,937.0,1120,0
Traveling with Sugar,Amy Moran-Thomas,Xe Sands,21-01-20,English,703.0,703,0
Healing Racial Trauma,"Sheila Wise Rowe,Soong-Chan Rah-foreword",Sheila Wise Rowe,28-01-20,English,586.0,351,0
Coming of Age in Jim Crow DC,Paula Austin,Ron Butler,21-01-20,English,1172.0,328,0
Helping the Good Do Better,Thomas F.Sheridan,Eric Jason Martin,25-06-19,English,500.0,479,0
Midlife & Snatching Crowns,Leona Knight,Kitty Hendrix,05-04-22,English,469.0,300,0
The Nanny State Made Me,Stuart Maconie,Stuart Maconie,05-03-20,English,888.0,684,0
Second Chance Vow,M.Robinson,"Sebastian York,Maxine Mitchell",22-03-22,English,1005.0,354,0
La clave Pinner,Andrés Pérez Domínguez,Jorge González,04-04-22,spanish,307.0,446,0
Operation Elite,"Matthew Reilly,Norbert Stöbe-Übersetzer",Jürgen Holdorf,05-04-22,german,233.0,739,0
A Relentless Rake,Anna Harrington,Justine Eyre,29-03-22,English,1172.0,566,0
"Konsum - Warum wir kaufen, was wir nicht brauchen",Carl Tillessen,Martin Valdeig,12-01-21,german,401.0,350,0
Il était une fois l'ethnographie,Germaine Tillion,Roselyne Sarazin,10-12-20,french,793.0,603,0
Promises and Pomegranates,Sav R.Miller,"Rock Engle,Charlotte Claremont",08-03-22,English,1172.0,622,0
De rennende vrouw,"Patricia Carlon,Ineke Wieberdink-Westerweel",Katja Prins,27-01-22,dutch,233.0,433,0
Der Tanz des Mörders,"Miriam Rademacher,Christoph N.Fuhrer",Jens Wenzel,01-02-22,german,468.0,403,0
La grande invenzione,Silvia Ferrara,Natascha Padoan,07-01-22,italian,574.0,485,0
London Clay,Tom Chivers,Tom Chivers,09-09-21,English,888.0,842,0
Meurtre au chloroforme,Félix R.Castel,Coralie Lesage,10-01-22,french,376.0,110,0
Frau Maier fischt im Trüben. Chiemgau-Krimi,Jessica Kremser,Hildegard Meier,01-02-22,german,300.0,462,0
Griff nach den Sternen,"Harald Meller,Kai Michel",Peter Bieringer,27-07-21,german,637.0,369,0
Run Rose Run,"Dolly Parton,James Patterson","Dolly Parton,James Fouhey,Kevin TCollins,",07-03-22,English,888.0,617,0
